scenario_id,agent_id,complexity,offload_choice,layer,battery_consumption,latency_ms,overload_prob,success,cpu_usage,bw_0,bw_1,bw_2
35,3,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
35,4,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
36,0,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
36,1,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
36,2,medium,4,Reject,0.0105,0.0,0.0,0.0,0.1,0.33,0.33,0.34
36,3,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
36,4,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
37,0,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
37,1,easy,2,Fog,0.057999999999999996,45.5,0.05,1.0,0.9,0.7,0.2,0.1
37,2,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
37,3,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
37,4,easy,1,Edge,0.0435,27.3,0.05,1.0,0.9,0.7,0.2,0.1
38,0,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
38,1,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
38,2,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
38,3,medium,1,Edge,0.0435,39.0,0.15,1.0,0.9,0.7,0.2,0.1
38,4,medium,2,Fog,0.057999999999999996,65.0,0.15,1.0,0.9,0.7,0.2,0.1
39,0,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
39,1,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
39,2,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
39,3,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
39,4,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
40,0,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
40,1,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
40,2,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
40,3,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
40,4,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
41,0,hard,2,Fog,0.057999999999999996,97.5,0.3,1.0,0.9,0.7,0.2,0.1
41,1,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
41,2,hard,1,Edge,0.0435,58.5,0.3,1.0,0.9,0.7,0.2,0.1
